user_id,chapter,started,finished,progress_pct
U00001,第1章,0,1,100
U00001,第2章,0,1,100
U00001,第3章,0,1,100
U00001,第4章,1,1,100
U00001,第5章,1,1,100
U00001,第6章,1,1,100
U00001,第7章,1,1,100
U00001,第8章,1,0,3
U00001,第9章,1,0,0
U00001,第10章,1,1,100
U00002,第1章,0,0,0
U00002,第2章,0,0,0
U00002,第3章,1,0,0
U00002,第4章,1,0,0
U00002,第5章,1,0,0
U00002,第6章,1,0,0
U00002,第7章,1,0,0
U00002,第8章,1,0,0
U00002,第9章,1,0,0
U00002,第10章,1,0,18
U00003,第1章,0,1,100
U00003,第2章,0,1,100
U00003,第3章,1,1,100
U00003,第4章,1,1,100
U00003,第5章,1,1,100
U00003,第6章,1,1,100
U00003,第7章,1,0,77
U00003,第8章,1,0,0
U00003,第9章,1,0,0
U00003,第10章,1,1,100
U00004,第1章,1,0,86
U00004,第2章,1,0,0
U00004,第3章,1,0,0
U00004,第4章,1,0,0
U00004,第5章,1,0,0
U00004,第6章,1,0,0
U00004,第7章,1,0,0
U00004,第8章,1,0,0
U00004,第9章,1,0,0
U00004,第10章,1,1,100
U00005,第1章,0,1,100
U00005,第2章,0,1,100
U00005,第3章,0,1,100
U00005,第4章,1,1,100
U00005,第5章,1,1,100
U00005,第6章,1,1,100
U00005,第7章,1,1,100
U00005,第8章,1,1,100
U00005,第9章,1,0,100
U00005,第10章,1,1,100
U00006,第1章,1,1,100
U00006,第2章,1,1,100
U00006,第3章,1,1,100
U00006,第4章,1,1,100
U00006,第5章,1,1,100
U00006,第6章,1,1,100
U00006,第7章,1,0,56
U00006,第8章,1,0,0
U00006,第9章,1,0,0
U00006,第10章,1,1,100
U00007,第1章,0,1,100
U00007,第2章,1,1,100
U00007,第3章,1,1,100
U00007,第4章,1,1,100
U00007,第5章,1,1,100
U00007,第6章,1,0,4
U00007,第7章,1,0,0
U00007,第8章,1,0,0
U00007,第9章,1,0,0
U00007,第10章,1,1,100
U00008,第1章,0,0,16
U00008,第2章,1,0,0
U00008,第3章,1,0,0
U00008,第4章,1,0,0
U00008,第5章,1,0,0
U00008,第6章,1,0,0
U00008,第7章,1,0,0
U00008,第8章,1,0,0
U00008,第9章,1,0,0
U00008,第10章,1,1,100
U00009,第1章,0,1,100
U00009,第2章,1,1,100
U00009,第3章,1,1,100
U00009,第4章,1,1,100
U00009,第5章,1,1,100
U00009,第6章,1,1,100
U00009,第7章,1,0,8
U00009,第8章,1,0,0
U00009,第9章,1,0,0
U00009,第10章,1,1,100
U00010,第1章,1,1,100
U00010,第2章,1,0,30
U00010,第3章,1,0,0
U00010,第4章,1,0,0
U00010,第5章,1,0,0
U00010,第6章,1,0,0
U00010,第7章,1,0,0
U00010,第8章,1,0,0
U00010,第9章,1,0,0
U00010,第10章,1,1,100
U00011,第1章,1,1,100
U00011,第2章,1,0,99
U00011,第3章,1,0,0
U00011,第4章,1,0,0
U00011,第5章,1,0,0
U00011,第6章,1,0,0
U00011,第7章,1,0,0
U00011,第8章,1,0,0
U00011,第9章,1,0,0
U00011,第10章,1,1,100
U00012,第1章,1,1,100
U00012,第2章,1,1,100
U00012,第3章,1,1,100
U00012,第4章,1,1,100
U00012,第5章,1,0,82
U00012,第6章,1,0,0
U00012,第7章,1,0,0
U00012,第8章,1,0,0
U00012,第9章,1,0,0
U00012,第10章,1,1,100
U00013,第1章,0,1,100
U00013,第2章,1,1,100
U00013,第3章,1,1,100
U00013,第4章,1,1,100
U00013,第5章,1,0,46
U00013,第6章,1,0,0
U00013,第7章,1,0,0
U00013,第8章,1,0,0
U00013,第9章,1,0,0
U00013,第10章,1,1,100
U00014,第1章,0,1,100
U00014,第2章,0,1,100
U00014,第3章,0,1,100
U00014,第4章,1,1,100
U00014,第5章,1,1,100
U00014,第6章,1,1,100
U00014,第7章,1,0,46
U00014,第8章,1,0,0
U00014,第9章,1,0,0
U00014,第10章,1,1,100
U00015,第1章,1,1,100
U00015,第2章,1,1,100
U00015,第3章,1,1,100
U00015,第4章,1,1,100
U00015,第5章,1,1,100
U00015,第6章,1,1,100
U00015,第7章,1,1,100
U00015,第8章,1,0,49
U00015,第9章,1,0,0
U00015,第10章,1,1,100
U00016,第1章,0,1,100
U00016,第2章,0,1,100
U00016,第3章,1,1,100
U00016,第4章,1,0,72
U00016,第5章,1,0,0
U00016,第6章,1,0,0
U00016,第7章,1,0,0
U00016,第8章,1,0,0
U00016,第9章,1,0,0
U00016,第10章,1,1,100
U00017,第1章,0,1,100
U00017,第2章,0,1,100
U00017,第3章,1,1,100
U00017,第4章,1,1,100
U00017,第5章,1,1,100
U00017,第6章,1,1,100
U00017,第7章,1,1,100
U00017,第8章,1,1,100
U00017,第9章,1,0,4
U00017,第10章,1,1,100
U00018,第1章,0,0,0
U00018,第2章,0,0,0
U00018,第3章,0,0,0
U00018,第4章,1,0,0
U00018,第5章,1,0,0
U00018,第6章,1,0,0
U00018,第7章,1,0,0
U00018,第8章,1,0,0
U00018,第9章,1,0,0
U00018,第10章,1,0,77
U00019,第1章,0,1,100
U00019,第2章,0,1,100
U00019,第3章,0,1,100
U00019,第4章,1,1,100
U00019,第5章,1,0,19
U00019,第6章,1,0,0
U00019,第7章,1,0,0
U00019,第8章,1,0,0
U00019,第9章,1,0,0
U00019,第10章,1,1,100
U00020,第1章,0,1,100
U00020,第2章,0,1,100
U00020,第3章,1,1,100
U00020,第4章,1,0,86
U00020,第5章,1,0,0
U00020,第6章,1,0,0
U00020,第7章,1,0,0
U00020,第8章,1,0,0
U00020,第9章,1,0,0
U00020,第10章,1,1,100
U00021,第1章,0,0,57
U00021,第2章,1,0,0
U00021,第3章,1,0,0
U00021,第4章,1,0,0
U00021,第5章,1,0,0
U00021,第6章,1,0,0
U00021,第7章,1,0,0
U00021,第8章,1,0,0
U00021,第9章,1,0,0
U00021,第10章,1,1,100
U00022,第1章,1,1,100
U00022,第2章,1,1,100
U00022,第3章,1,1,100
U00022,第4章,1,0,47
U00022,第5章,1,0,0
U00022,第6章,1,0,0
U00022,第7章,1,0,0
U00022,第8章,1,0,0
U00022,第9章,1,0,0
U00022,第10章,1,1,100
U00023,第1章,1,1,100
U00023,第2章,1,1,100
U00023,第3章,1,1,100
U00023,第4章,1,1,100
U00023,第5章,1,1,100
U00023,第6章,1,0,47
U00023,第7章,1,0,0
U00023,第8章,1,0,0
U00023,第9章,1,0,0
U00023,第10章,1,1,100
U00024,第1章,0,0,56
U00024,第2章,0,0,0
U00024,第3章,1,0,0
U00024,第4章,1,0,0
U00024,第5章,1,0,0
U00024,第6章,1,0,0
U00024,第7章,1,0,0
U00024,第8章,1,0,0
U00024,第9章,1,0,0
U00024,第10章,1,1,100
U00025,第1章,0,1,100
U00025,第2章,0,1,100
U00025,第3章,0,0,97
U00025,第4章,1,0,0
U00025,第5章,1,0,0
U00025,第6章,1,0,0
U00025,第7章,1,0,0
U00025,第8章,1,0,0
U00025,第9章,1,0,0
U00025,第10章,1,1,100
U00026,第1章,0,1,100
U00026,第2章,0,0,9
U00026,第3章,1,0,0
U00026,第4章,1,0,0
U00026,第5章,1,0,0
U00026,第6章,1,0,0
U00026,第7章,1,0,0
U00026,第8章,1,0,0
U00026,第9章,1,0,0
U00026,第10章,1,1,100
U00027,第1章,0,1,100
U00027,第2章,0,1,100
U00027,第3章,0,1,100
U00027,第4章,1,1,100
