user_id,channel,registered_at,active_days,retain_day1,retain_day7,retain_day14
U00001,搜索引擎,2025-11-01 03:47:01,8,0,0,0
U00002,合作推广,2025-11-01 05:19:49,10,0,0,0
U00003,付费广告,2025-11-01 15:45:49,17,0,1,0
U00004,社交网络,2025-11-01 20:05:22,28,0,1,0
U00005,自然流量,2025-11-02 00:56:22,26,1,1,0
U00006,自然流量,2025-11-02 06:14:54,9,1,0,0
U00007,自然流量,2025-11-02 09:02:53,22,0,0,0
U00008,付费广告,2025-11-03 03:40:53,19,1,1,0
U00009,社交网络,2025-11-03 06:57:19,29,0,1,1
U00010,付费广告,2025-11-03 12:34:22,14,1,0,0
U00011,自然流量,2025-11-03 19:01:24,8,1,0,0
U00012,合作推广,2025-11-04 00:54:59,9,0,0,0
U00013,付费广告,2025-11-04 14:49:34,22,1,0,1
U00014,自然流量,2025-11-04 18:07:41,11,0,0,1
U00015,自然流量,2025-11-04 22:36:54,23,1,1,1
U00016,自然流量,2025-11-05 11:00:39,1,1,1,1
U00017,搜索引擎,2025-11-05 18:19:18,14,0,1,0
U00018,社交网络,2025-11-05 21:55:35,5,1,1,1
U00019,搜索引擎,2025-11-06 11:52:20,21,0,1,1
U00020,搜索引擎,2025-11-06 17:33:11,26,0,1,0
U00021,社交网络,2025-11-07 16:43:07,14,1,0,1
U00022,自然流量,2025-11-08 12:39:55,4,0,0,0
U00023,搜索引擎,2025-11-08 13:32:11,22,1,0,0
U00024,搜索引擎,2025-11-08 14:03:03,23,1,0,0
U00025,搜索引擎,2025-11-08 21:57:19,25,1,0,0
U00026,付费广告,2025-11-09 04:03:12,1,0,0,1
U00027,自然流量,2025-11-10 04:34:06,22,1,1,0
U00028,社交网络,2025-11-10 11:39:40,23,1,1,0
U00029,社交网络,2025-11-10 15:01:32,19,1,0,0
U00030,自然流量,2025-11-10 17:07:01,8,1,0,1
U00031,社交网络,2025-11-10 23:20:24,15,1,0,0
U00032,自然流量,2025-11-11 07:19:59,21,1,0,0
U00033,自然流量,2025-11-11 11:20:43,15,1,1,1
U00034,合作推广,2025-11-11 12:36:33,9,1,1,1
U00035,合作推广,2025-11-11 17:15:20,21,1,1,0
U00036,付费广告,2025-11-12 03:30:12,9,1,1,1
U00037,搜索引擎,2025-11-12 06:31:51,10,1,1,1
U00038,自然流量,2025-11-12 13:43:48,20,0,1,1
U00039,付费广告,2025-11-13 01:13:13,25,0,1,0
U00040,搜索引擎,2025-11-13 04:47:23,21,1,0,0
U00041,自然流量,2025-11-13 08:14:09,26,0,0,0
U00042,社交网络,2025-11-13 11:11:45,9,1,1,0
U00043,自然流量,2025-11-13 16:13:31,3,0,0,0
U00044,合作推广,2025-11-14 23:48:23,20,0,1,0
U00045,搜索引擎,2025-11-15 20:34:58,25,1,0,0
U00046,社交网络,2025-11-16 00:56:22,26,1,0,0
U00047,搜索引擎,2025-11-16 10:25:08,11,0,0,0
U00048,社交网络,2025-11-16 11:50:49,6,1,0,1
U00049,社交网络,2025-11-16 15:13:58,2,1,1,0
U00050,自然流量,2025-11-16 22:47:31,7,0,1,0
U00051,合作推广,2025-11-17 05:52:23,18,1,0,1
U00052,付费广告,2025-11-17 20:59:14,27,1,1,0
U00053,合作推广,2025-11-18 02:55:06,2,0,1,1
U00054,合作推广,2025-11-18 05:42:44,27,1,0,1
U00055,社交网络,2025-11-18 16:14:13,17,0,0,0
U00056,合作推广,2025-11-18 19:06:51,11,1,1,1
U00057,自然流量,2025-11-18 22:44:35,27,1,0,0
U00058,自然流量,2025-11-19 07:09:23,12,0,1,0
U00059,自然流量,2025-11-20 11:21:37,27,1,1,0
U00060,搜索引擎,2025-11-20 12:04:09,19,1,0,0
U00061,搜索引擎,2025-11-20 12:41:12,22,0,0,1
U00062,搜索引擎,2025-11-20 15:31:02,24,1,0,0
U00063,付费广告,2025-11-20 17:28:48,25,1,1,0
U00064,搜索引擎,2025-11-20 22:51:56,7,1,1,0
U00065,搜索引擎,2025-11-21 05:28:22,20,1,0,0
U00066,社交网络,2025-11-21 19:40:22,6,0,0,0
U00067,自然流量,2025-11-22 00:54:43,21,1,0,0
U00068,付费广告,2025-11-22 04:13:09,24,1,1,1
